группа деканата;псевдоним
2015.О.5.П.ИГиМП.30.Б;ИГиМП430Б
2015.О.5.П.ИГиМП.31.Б;ИГиМП431Б
2015.О.5.П.ИГиМП.32.Б;ИГиМП432Б
2015.О.5.П.ИГиМП.33.Б;ИГиМП432Б
2015.О.5.П.ИГиМП.34.Б;ИГиМП433Б
2015.О.5.П.ИП.1.Б;ИП401Б
2015.О.5.П.ИП.10.Б;ИП410Б
2015.О.5.П.ИП.11.Б;ИП411Б
2015.О.5.П.ИП.12.Б;ИП412Б
2015.О.5.П.ИП.13.Б;ИП413Б
2015.О.5.П.ИП.14.Б;ИП414Б
2015.О.5.П.ИП.15.Б;ИП415Б
2015.О.5.П.ИП.16.Б;ИП416Б
2015.О.5.П.ИП.17.Б;ИП417Б
2015.О.5.П.ИП.18.Б;ИП418Б
2015.О.5.П.ИП.19.Б;ИП419Б
2015.О.5.П.ИП.2.Б;ИП402Б
2015.О.5.П.ИП.20.Б;ИП420Б
2015.О.5.П.ИП.3.Б;ИП403Б
2015.О.5.П.ИП.4.Б;ИП404Б
2015.О.5.П.ИП.5.Б;ИП405Б
2015.О.5.П.ИП.6.Б;ИП406Б
2015.О.5.П.ИП.7.Б;ИП407Б
2015.О.5.П.ИП.8.Б;ИП408Б
2015.О.5.П.ИП.9.Б;ИП409Б
2015.О.5.П.ИПиП.23.Б;ИПиП423Б
2015.О.5.П.ИПиП.24.Б;ИПиП424Б
2015.О.5.П.ИПиП.25.Б;ИПиП425Б
2015.О.5.П.ИЮ.11.Б;ИЮ411Б_ЭКПР
2015.О.5.П.ИЮ.11.С;ИЮ511С
2015.О.5.П.ИЮ.12.Б;ИЮ412Б_ЭКПР
2015.О.5.П.ИЮ.12.С;ИЮ512С
2015.О.5.П.ИЮ.13.Б;ИЮ413Б
2015.О.5.П.ИЮ.13.С;ИЮ513С
2015.О.5.П.ИЮ.14.Б;ИЮ414Б
2015.О.5.П.ИЮ.14.С;ИЮ514С
2015.О.5.П.ИЮ.15.Б;ИЮ415Б
2015.О.5.П.ИЮ.16.Б;ИЮ416Б
2015.О.5.П.ИЮ.17.Б;ИЮ417Б
2015.О.5.П.ИЮ.18.Б;ИЮ418Б
2015.О.5.П.ИЮ.19.Б;ИЮ419Б
2015.О.5.П.ИЮ.20.Б;ИЮ420Б
2015.О.5.П.ИЮ.21.Б;ИЮ421Б
2015.О.5.П.ИЮ.22.Б;ИЮ422Б
2015.О.5.П.ФДО.1.ДПО;Юристы_2015-2017
2015.О.5.П.ФДО.2.ДПО;Бухгалтеры_2015-2017
2015.О.5.П.ФДО.3.ДПО;Переводчики_2015-2017
2015.О.5.П.ФДО.4.ДПО;Психологи_2015-2017
2015.О.5.П.ФСПО.1.СПО;21_2017
2015.О.5.П.ФСПО.2.СПО;22_2017
2015.О.5.П.ФСПО.3.СПО;23_2017
2015.О.5.П.ФСПО.4.СПО;34
2015.О.5.П.ФСПО.5.СПО;35
2015.О.5.П.ФСПО.6.СПО;26
2015.О.5.СОП.ИЗиУО.65.Б;365
2015.О.53.П.ИГиМП.30.М;730
2015.О.54.П.ИПиП.25.М;725
2015.О.57.П.ИЮ.14.М;ИЮ714М_2017
2015.О.57.П.ИЮ.15.М;ИЮ715М_2017
2015.О.60.П.АиД.1.А;АиД301(01)
2015.О.61.П.АиД.2.А;АиД302(02)
2015.О.62.П.АиД.3.А;АиД303(03)
2015.О.63.П.АиД.4.А;АиД304(05)
2015.О.66.П.АиД.5.А;АиД305(10)
2015.О.70.П.АиД.6.А;АиД306(15)
2016.В.0.П.ФПиПКСК.1.А;ФПиПКСК_1(2016)
2016.В.0.П.ФПиПКСК.2.А;ФПиПКСК_1(2017)
2016.В.5.ВВ.ВФ.1.Б;ИСОП301Б_вф_во
2016.В.5.ВВ.ИГиМП.1.Б;ИГиМП301Б_зф_во_сб
2016.В.5.П.ВФ.1.Б;ИСОП501Б_вф_со
2016.В.5.П.ВФ.2.Б;ИСОП502Б_вф_со
2016.В.5.П.ВФ.3.Б;ИСОП503Б_вф_со
2016.В.5.СОП.ИЗиУО.1.Б;ИСОП48Б_вф_спо
2016.В.58.П.ИГиМП.1.М;ИГиМП701М-веч
2016.З.0.П.ИСОП.3.Б;ИСОП503Б_зф_со
2016.З.32.П.ИП.1.М;ИП701М-зо
2016.З.32.П.ИП.2.М;ИП702М-зо
2016.З.32.П.ИП.3.М;ИП703М-зо
2016.З.32.П.ИП.4.М;ИП704М-зо
2016.З.32.П.ИП.5.М;ИП705М-зо
2016.З.32.П.ИП.6.М;ИП706М-зо
2016.З.32.П.ИП.7.М;ИП707М-зо
2016.З.32.П.ИП.8.М;ИП708М-зо
2016.З.33.П.ИПиП.1.М;ИПиП701/2М-зо
2016.З.33.П.ИПиП.2.М;ИПиП701М-зо
2016.З.36.П.ИПиП.1.М;ИПиП702М-зо
2016.З.40.П.ИЮ.1.М;ИЮ711М-зо
2016.З.41.П.ИЮ.11.М;ИЮ721М-зо
2016.З.41.П.ИЮ.6.М;ИЮ716М-зо
2016.З.42.П.ИЮ.8.М;ИЮ718М-зо
2016.З.44.П.ИЮ.12.М;ИЮ722М-зо
2016.З.44.П.ИЮ.3.М;ИЮ713М-зо
2016.З.49.П.ИГиМП.1.М;ИГиМП701М-зо
2016.З.5.ВВ.ИГиМП.1.Б;ИГиМП301Б_зф_во
2016.З.5.ВВ.ИЗиУО.1.Б;ИСОП321Б_зф_во архив
2016.З.5.ВВ.ИЗиУО.2.Б;ИСОП322Б_зф_во
2016.З.5.П.ИГиМП.1.Б;ИГиМП501Б_зф_со
2016.З.5.П.ИГиМП.2.Б;ИГиМП502Б_зф_со
2016.З.5.П.ИГиМП.3.Б;ИГиМП503Б_зф_со
2016.З.5.П.ИЗиУО.1.Б;ИСОП501Б_зф_со
2016.З.5.П.ИЗиУО.2.Б;ИСОП502Б_зф_со
2016.З.5.П.ИСОП.3.Б;ИСОП503Б_зф_со
2016.З.5.П.ФСПО.4.СПО;ИСОП(ФСПО)34-зо
2016.З.5.П.ФСПО.5.СПО;ИСОП(ФСПО)35ПД-зо
2016.З.5.СОП.ИЗиУО.1.Б;ИСОП411Б_зф_спо
2016.З.5.СОП.ИЗиУО.2.Б;ИСОП412Б_зф_спо
2016.З.5.СОП.ИЗиУО.3.Б;ИСОП413Б_зф_спо
2016.З.5.СОП.ИЗиУО.4.Б;ИСОП414Б_зф_спо
2016.З.53.П.ИГиМП.2.М;ИГиМП702М-зо
2016.З.54.П.ИПиП.3.М;ИПиП703М-зо
2016.З.55.П.ИГиМП.3.М;ИГиМП703М-зо
2016.З.56.П.ИЮ.7.М;ИЮ717М-зо
2016.З.57.П.ИЮ.10.М;ИЮ720М-зо
2016.З.57.П.ИЮ.4.М;ИЮ714М-зо
2016.З.57.П.ИЮ.5.М;ИЮ715М-зо
2016.З.59.П.ИПиП.4.М;ИПиП706М-зо
2016.З.71.П.ИЮ.2.М;ИЮ712М-зо
2016.З.72.П.ИПиП.5.М;ИПиП705М-зо
2016.З.79.П.ИГиМП.3.М;ИГиМП(Ю)-324
2016.З.80.П.ИГиМП.5.М;ИГиМП(Ю)-335
2016.З.81.П.ИГиМП.6.М;ИГиМП(Ю)-344
